student_id,Topic,Subtopic,lapse_score,knowledge_score,interest_score,lapse_category,knowledge_category,interest_category,last_interaction_date
80,Analytic Geometry,Analytic Geometry,32.0,17.0,18.0,Highly lapsed,Extremely low knowledge,Extremely low interest,2026-05-30
80,Complex Numbers,Complex Numbers,2.0,40.0,18.0,Extremely lapsed,Low knowledge,Extremely low interest,2026-05-29
80,Differential Equations,Differential Equations,91.0,22.0,50.0,Not lapsed,Low knowledge,Moderate interest,2026-05-31
80,Differentiation,Derivatives,87.0,65.0,92.0,Not lapsed,High knowledge,Extremely high interest,2026-05-31
80,Differentiation,Differentiation,27.0,39.0,18.0,Highly lapsed,Low knowledge,Extremely low interest,2026-05-30
80,Differentiation,Implicit Differentiation and Chain Rule,32.0,96.0,35.0,Highly lapsed,Extremely high knowledge,Low interest,2026-05-30
80,Differentiation,Partial Differentiation,98.0,88.0,18.0,Not lapsed,Extremely high knowledge,Extremely low interest,2026-05-31
80,Discrete Mathematics,Recursivity,21.0,33.0,11.0,Highly lapsed,Low knowledge,Extremely low interest,2026-05-30
80,Discrete Mathematics,Set Theory,23.0,96.0,51.0,Highly lapsed,Extremely high knowledge,Moderate interest,2026-05-30
80,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",85.12950219334556,55.52000000000001,50.8,Not lapsed,Moderate knowledge,Moderate interest,2026-06-10 17:36:02
80,Fundamental Mathematics,Elementary Geometry,87.0,38.0,44.0,Not lapsed,Low knowledge,Moderate interest,2026-05-31
80,Graph Theory,Graph Theory,7.0,74.0,78.0,Extremely lapsed,High knowledge,High interest,2026-05-29
80,Integration,Double Integration,54.0,67.0,6.0,Moderately lapsed,High knowledge,Extremely low interest,2026-05-30
80,Integration,Integration Techniques,16.0,62.0,54.0,Extremely lapsed,High knowledge,Moderate interest,2026-05-30
80,Integration,Surface Integrals,42.0,63.0,21.0,Moderately lapsed,High knowledge,Low interest,2026-05-30
80,Integration,Triple Integration,53.0,97.0,70.0,Moderately lapsed,Extremely high knowledge,High interest,2026-05-30
80,Linear Algebra,Eigenvalues and Eigenvectors,31.0,44.0,90.0,Highly lapsed,Moderate knowledge,Extremely high interest,2026-05-30
80,Linear Algebra,Matrices and Determinants,99.0,78.0,89.0,Not lapsed,High knowledge,Extremely high interest,2026-05-31
80,Optimization,Linear Optimization,83.0,53.0,47.0,Not lapsed,Moderate knowledge,Moderate interest,2026-05-31
80,Optimization,Nonlinear Optimization,45.0,1.0,56.0,Moderately lapsed,Extremely low knowledge,Moderate interest,2026-05-30
80,Real Functions of Several Variables,"Limits, Continuity, Domain and Image",14.0,11.0,94.0,Extremely lapsed,Extremely low knowledge,Extremely high interest,2026-05-30
80,Real Functions of a Single Variable,"Domain, Image and Graphics",91.0,27.0,49.0,Not lapsed,Low knowledge,Moderate interest,2026-05-31
80,Real Functions of a Single Variable,Limits and Continuity,98.0,14.0,20.0,Not lapsed,Extremely low knowledge,Extremely low interest,2026-05-31
80,Statistics,Statistics,26.0,94.0,78.0,Highly lapsed,Extremely high knowledge,High interest,2026-05-30
80,Artificial Intelligence (AI),Machine Learning and Deep Learning,41.41388503365671,9.104,73.248,Moderately lapsed,Extremely low knowledge,High interest,2026-06-11 13:39:37
80,Artificial Intelligence (AI),AI Ethics and Algorithmic Bias,54.0,77.0,40.0,Moderately lapsed,High knowledge,Low interest,2026-05-30
80,Artificial Intelligence (AI),"Generative AI (text, images, video)",81.0,64.0,48.0,Not lapsed,High knowledge,Moderate interest,2026-05-31
80,Artificial Intelligence (AI),Automation and the Future of Work,34.0,74.0,74.0,Highly lapsed,High knowledge,High interest,2026-05-30
80,Artificial Intelligence (AI),NLP (Natural Language Processing),13.0,87.0,13.0,Extremely lapsed,Extremely high knowledge,Extremely low interest,2026-05-30
80,Artificial Intelligence (AI),Computer Vision,76.0,25.0,58.0,Slightly lapsed,Low knowledge,Moderate interest,2026-05-31
80,Artificial Intelligence (AI),AI in Medicine and Diagnostics,42.0,39.0,8.0,Moderately lapsed,Low knowledge,Extremely low interest,2026-05-30
80,Artificial Intelligence (AI),Collaborative Robotics (Cobots),74.0,57.0,82.0,Slightly lapsed,Moderate knowledge,Extremely high interest,2026-05-31
80,Artificial Intelligence (AI),Regulation and AI Act,88.0,96.0,67.0,Not lapsed,Extremely high knowledge,High interest,2026-05-31
80,Artificial Intelligence (AI),Technological Singularity,92.0,63.0,54.0,Not lapsed,High knowledge,Moderate interest,2026-05-31
80,Climate Change and Sustainability,"Renewable Energies (solar, wind, hydrogen)",40.0,71.0,34.0,Highly lapsed,High knowledge,Low interest,2026-05-30
80,Climate Change and Sustainability,Circular Economy and Recycling,51.0,32.0,6.0,Moderately lapsed,Low knowledge,Extremely low interest,2026-05-30
80,Climate Change and Sustainability,Electric Mobility and Micro-mobility,74.0,48.0,36.0,Slightly lapsed,Moderate knowledge,Low interest,2026-05-31
