Topic,Subtopic,lapse_score,knowledge_score
Analytic Geometry,Analytic Geometry,0.2014492753623188,4.7
Complex Numbers,Complex Numbers,0.1,0.2
Differential Equations,Differential Equations,0.1,1.2000000000000002
Differentiation,Derivatives,0.1625,2.1
Differentiation,Differentiation,0.1,0.5
Differentiation,Implicit Differentiation and Chain Rule,0.1,0.8
Differentiation,Partial Differentiation,0.1,0.7000000000000001
Discrete Mathematics,Recursivity,0.1,1.6
Discrete Mathematics,Set Theory,0.1,4.0
Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",0.1,1.2000000000000002
Fundamental Mathematics,Elementary Geometry,0.35,0.1
Graph Theory,Graph Theory,0.1,0.1
Integration,Double Integration,0.1,0.4
Integration,Integration Techniques,0.1,0.1
Integration,Surface Integrals,0.1,0.7000000000000001
Integration,Triple Integration,0.1,0.0
Linear Algebra,Eigenvalues and Eigenvectors,0.1,1.3
Linear Algebra,Matrices and Determinants,0.1416666666666666,7.800000000000001
Optimization,Linear Optimization,0.1,0.4
Optimization,Nonlinear Optimization,0.3571428571428571,4.3
Real Functions of Several Variables,"Limits, Continuity, Domain and Image",0.1,0.2
Real Functions of a Single Variable,"Domain, Image and Graphics",0.1,0.1
Real Functions of a Single Variable,Limits and Continuity,0.1,0.2
Statistics,Statistics,0.1,0.3
Intelligenza Artificiale (AI),Machine Learning e Deep Learning,0.1,0.1
Intelligenza Artificiale (AI),Etica dell'AI e bias algoritmici,0.1,0.1
Intelligenza Artificiale (AI),"AI Generativa (testo, immagini, video)",0.1,0.1
Intelligenza Artificiale (AI),Automazione e futuro del lavoro,0.1,0.1
Intelligenza Artificiale (AI),NLP (Natural Language Processing),0.1,0.1
Intelligenza Artificiale (AI),Computer Vision,0.1,0.1
Intelligenza Artificiale (AI),AI nella medicina e diagnostica,0.1,0.1
Intelligenza Artificiale (AI),Robotica collaborativa (Cobots),0.1,0.1
Intelligenza Artificiale (AI),Regolamentazione e AI Act,0.1,0.1
Intelligenza Artificiale (AI),Singolarità tecnologica,0.1,0.1
Cambiamento Climatico e Sostenibilità,"Energie rinnovabili (solare, eolico, idrogeno)",0.1,0.1
Cambiamento Climatico e Sostenibilità,Economia circolare e riciclo,0.1,0.1
Cambiamento Climatico e Sostenibilità,Mobilità elettrica e micro-mobilità,0.1,0.1
Cambiamento Climatico e Sostenibilità,Agricoltura rigenerativa,0.1,0.1
Cambiamento Climatico e Sostenibilità,Decarbonizzazione industriale,0.1,0.1
Cambiamento Climatico e Sostenibilità,Conservazione della biodiversità,0.1,0.1
Cambiamento Climatico e Sostenibilità,Architettura sostenibile (Bioedilizia),0.1,0.1
